filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_objectcatch,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
faces_lisa_rot07.png,243,right,2,human,1,facefemale,2,lisa,2,greet,1,0,0,36,12,-24,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_lisa_rot13.png,244,right,2,human,1,facefemale,2,lisa,2,greet,1,0,0,36,24,-12,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_lisa_rot25.png,245,right,2,human,1,facefemale,2,lisa,2,greet,1,0,0,36,48,12,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_lisa_rot31.png,246,right,2,human,1,facefemale,2,lisa,2,greet,1,0,0,36,60,24,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_sophia_rot61.png,247,left,1,human,1,facefemale,2,sophia,3,greet,1,0,0,144,120,-24,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_sophia_rot67.png,248,left,1,human,1,facefemale,2,sophia,3,greet,1,0,0,144,132,-12,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_sophia_rot79.png,249,left,1,human,1,facefemale,2,sophia,3,greet,1,0,0,144,156,12,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_sophia_rot85.png,250,left,1,human,1,facefemale,2,sophia,3,greet,1,0,0,144,168,24,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_parrot_rot05.png,251,right,2,animal,2,small,1,parrot,1,greet,1,0,0,32,8,-24,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_parrot_rot11.png,252,right,2,animal,2,small,1,parrot,1,greet,1,0,0,32,20,-12,sideways,rightward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_parrot_rot23.png,253,right,2,animal,2,small,1,parrot,1,greet,1,0,0,32,44,12,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_parrot_rot29.png,254,right,2,animal,2,small,1,parrot,1,greet,1,0,0,32,56,24,sideways,leftward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
