unique_im,is_specialcore,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
636,1,right,123.75,3,1,3,0,0,NaN,NaN,2,110,167,259,79,-1.95274723177919,0.766638746163926,-0.566740063649062,1.45017670721508,59.25,239.25,43,NaN,NaN,NaN
637,1,right,123.75,3,1,3,0,0,NaN,NaN,2,241,38,124,210,-0.738302365598478,1.73537334581013,1.66687146129289,0.703223771591822,214,394,43,NaN,NaN,NaN
638,1,right,123.75,3,1,3,0,0,NaN,NaN,2,283,277,62,232,0.492403527716025,1.66153512128085,1.74577085129711,1.44195061761098,281.5,461.5,43,NaN,NaN,NaN
639,1,right,123.75,3,1,3,0,0,NaN,NaN,2,226,178,171,74,0.014937538840929,0.559811839832036,-1.0532396470103,1.16365824065847,332.25,512.25,43,NaN,NaN,NaN
640,1,right,123.75,3,1,3,0,0,NaN,NaN,2,168,244,161,59,1.10029051683687,0.775997412771346,-1.10684390016503,1.33968790167242,357.75,537.75,43,NaN,NaN,NaN
641,1,right,123.75,3,1,3,0,0,NaN,NaN,2,57,193,304,241,1.95289540005814,1.37033656730215,0.304161142921218,1.61746295894456,101,281,43,NaN,NaN,NaN
642,1,right,123.75,3,1,3,0,0,NaN,NaN,2,142,120,30,179,-1.37956868528728,0.75126237020106,2.03023455237462,1.66260527657658,242.25,422.25,43,NaN,NaN,NaN
643,1,left,168.75,4,1,3,0,0,NaN,NaN,1,252,96,279,229,-0.528507577262259,1.25362639556114,0.306978271135643,1.30317547538199,168.75,348.75,44,NaN,NaN,NaN
644,1,left,168.75,4,1,3,0,0,NaN,NaN,1,176,146,212,326,-1.03488730832464,0.348650559565583,0.870398361920688,1.74067498946618,168.75,348.75,44,NaN,NaN,NaN
645,1,left,168.75,4,1,3,0,0,NaN,NaN,1,221,165,245,284,-0.168559315083256,0.522916774043523,0.653422537152076,1.44803151144516,168.75,348.75,44,NaN,NaN,NaN
646,1,left,168.75,4,1,3,0,0,NaN,NaN,1,93,127,124,284,-1.693115347951,1.10543127766778,1.31468600064486,1.36039709963869,168.75,348.75,44,NaN,NaN,NaN
647,1,left,168.75,4,1,3,0,0,NaN,NaN,1,218,122,242,245,-0.599431577249289,0.774638524016484,0.524122399653257,1.07706934840965,168.75,348.75,44,NaN,NaN,NaN
648,1,left,168.75,4,1,3,0,0,NaN,NaN,1,159,48,213,318,-1.10883254443191,1.465161827132,0.858231538717436,1.65610048573599,168.75,348.75,44,NaN,NaN,NaN
649,1,left,168.75,4,1,3,0,0,NaN,NaN,1,100,114,141,320,-1.59640261025573,1.11511756051335,1.17662500169833,1.67862549957379,168.75,348.75,44,NaN,NaN,NaN
650,1,left,168.75,4,1,3,0,0,NaN,NaN,1,125,32,180,308,-1.24361901915084,1.7401668774026,1.00478428042281,1.48852800838854,168.75,348.75,44,NaN,NaN,NaN
651,1,left,168.75,4,1,3,0,0,NaN,NaN,1,192,102,230,294,-0.890604227211643,0.859522513093181,0.743746933685339,1.45746613569474,168.75,348.75,44,NaN,NaN,NaN
652,1,left,168.75,4,1,3,0,0,NaN,NaN,1,124,39,165,245,-1.25782420309788,1.67055737170105,1.12817560383077,0.792834093151535,168.75,348.75,44,NaN,NaN,NaN
653,1,left,168.75,4,1,3,0,0,NaN,NaN,2,273,215,173,34,0.245126014098494,1.17845445867866,-1.03793076147188,1.62120736512397,331,511,44,NaN,NaN,NaN
654,1,left,168.75,4,1,3,0,0,NaN,NaN,2,166,184,88,61,1.62816808094989,0.148502237649259,-1.44449473003038,1.65345189581891,327.75,507.75,44,NaN,NaN,NaN
655,1,left,168.75,4,1,3,0,0,NaN,NaN,2,189,330,176,104,0.968938954522952,1.74356315240064,-1.02593729037656,0.817464698767523,356.75,536.75,44,NaN,NaN,NaN
656,1,left,168.75,4,1,3,0,0,NaN,NaN,2,145,204,329,178,1.57476187057567,0.47656493723413,0.00719206884414381,1.73460393612965,82,262,44,NaN,NaN,NaN
657,1,left,168.75,4,1,3,0,0,NaN,NaN,2,164,185,324,164,1.63266940976933,0.169935304029412,-0.0567345253332566,1.67939050054813,82.25,262.25,44,NaN,NaN,NaN
658,1,left,168.75,4,1,3,0,0,NaN,NaN,2,54,173,268,72,-2.02213780498763,1.38699646457159,-0.552455578314171,1.57659762681567,64.75,244.75,44,NaN,NaN,NaN
659,1,left,168.75,4,1,3,0,0,NaN,NaN,2,108,191,271,186,1.90955635810007,0.793422859785758,0.062147619106465,1.07806963833385,88.25,268.25,44,NaN,NaN,NaN
660,1,left,168.75,4,1,3,0,0,NaN,NaN,2,241,141,137,274,-0.329448269521336,0.835897939843307,1.27147812202029,1.19181216678074,218,398,44,NaN,NaN,NaN
661,1,left,168.75,4,1,3,0,0,NaN,NaN,2,76,70,283,210,-1.51279343665429,1.65581621904756,0.197191251807172,1.2623765444815,124,304,44,NaN,NaN,NaN
662,1,left,168.75,4,1,3,0,0,NaN,NaN,2,316,224,116,271,0.213307121884226,1.67410979408292,1.39103041765211,1.27753581830499,256.75,436.75,44,NaN,NaN,NaN
663,1,right,213.75,5,1,3,0,0,NaN,NaN,1,199,48,99,200,-0.905190065270163,1.47512664506847,1.85450507507189,0.921840198074855,213.75,393.75,45,NaN,NaN,NaN
664,1,right,213.75,5,1,3,0,0,NaN,NaN,1,254,168,161,308,-0.0706578798962523,0.889267099832638,1.09704326248855,1.50080381118669,213.75,393.75,45,NaN,NaN,NaN
665,1,right,213.75,5,1,3,0,0,NaN,NaN,1,204,68,79,256,-0.855833751103357,1.26548365132469,1.59528137490021,1.43040972506941,213.75,393.75,45,NaN,NaN,NaN
666,1,right,213.75,5,1,3,0,0,NaN,NaN,1,297,167,202,309,-0.0504970884481432,1.36513605102424,0.897793487554993,1.52850678394714,213.75,393.75,45,NaN,NaN,NaN
