unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
445,right,2,33.75,2,0.8,3,90,2,0,0,1,1,78,290,195,114,1.48601583008347,1.70824362961921,-0.832365621083729,0.735953051546422,33.75,213.75,18,NaN,NaN,NaN
446,right,2,33.75,2,0.8,3,90,2,0,0,1,1,179,177,264,50,0.0994711356025964,0.0311446178561169,-0.627292007143636,1.74043277578864,33.75,213.75,18,NaN,NaN,NaN
447,right,2,33.75,2,0.8,3,90,2,0,0,1,1,159,213,229,109,1.30792137576738,0.45460695784552,-0.593172084233634,0.967464935241895,33.75,213.75,18,NaN,NaN,NaN
448,right,2,33.75,2,0.8,3,90,2,0,0,1,1,93,215,212,37,1.76339049606853,1.04125978370845,-0.85971852360639,1.63652858400135,33.75,213.75,18,NaN,NaN,NaN
449,right,2,33.75,2,0.8,3,90,2,0,0,1,1,176,177,256,58,1.08702554575087,0.0112782648637039,-0.635708851012506,1.61480496089478,33.75,213.75,18,NaN,NaN,NaN
450,right,2,33.75,2,0.8,3,90,2,0,0,1,1,172,183,256,57,1.46628956952888,0.0892701996798677,-0.641287522550555,1.62617246436345,33.75,213.75,18,NaN,NaN,NaN
451,right,2,33.75,2,0.8,3,90,2,0,0,1,1,176,209,272,65,1.03045198583409,0.373459667268525,-0.55859716700092,1.6663303539392,33.75,213.75,18,NaN,NaN,NaN
452,right,2,33.75,2,0.8,3,90,2,0,0,1,1,89,252,209,73,1.57710164039294,1.30994368455524,-0.823484695547724,1.228886706143,33.75,213.75,18,NaN,NaN,NaN
453,right,2,33.75,2,0.8,3,90,2,0,0,1,2,155,321,30,178,1.11753939395891,1.65192384309082,2.03446349108958,1.66359672453963,318.75,498.75,18,NaN,NaN,NaN
454,right,2,33.75,2,0.8,3,90,2,0,0,1,2,174,173,299,121,-1.3566140178152,0.0508388990643146,-0.276555486246162,1.53009988435979,67.5,247.5,18,NaN,NaN,NaN
455,right,2,33.75,2,0.8,3,90,2,0,0,1,2,155,96,300,163,-1.19047139851168,0.947667227090573,-0.0692011515861681,1.40558920671766,115,295,18,NaN,NaN,NaN
456,right,2,33.75,2,0.8,3,90,2,0,0,1,2,52,128,290,264,-1.80177668155089,1.51753607403922,0.428955415604021,1.62351294481249,119.75,299.75,18,NaN,NaN,NaN
457,right,2,33.75,2,0.8,3,90,2,0,0,1,2,44,192,306,107,1.96629949026029,1.51406819329961,-0.321272842993157,1.66946299808368,72,252,18,NaN,NaN,NaN
458,right,2,33.75,2,0.8,3,90,2,0,0,1,2,182,155,298,85,-0.861134498988046,0.254796530124586,-0.416835270242092,1.72641946947954,59.25,239.25,18,NaN,NaN,NaN
459,right,2,33.75,2,0.8,3,90,2,0,0,1,2,174,169,322,153,-1.20468593386222,0.0942853363028621,-0.104045316446011,1.67484729388368,84,264,18,NaN,NaN,NaN
460,right,2,33.75,2,0.8,3,90,2,0,0,1,2,98,48,267,56,-1.37469170263422,1.70637780798358,-0.603008730235328,1.70814061005543,92.75,272.75,18,NaN,NaN,NaN
461,right,2,33.75,2,0.8,3,90,2,0,0,1,2,233,203,108,83,0.285653867722941,0.707224425683022,-1.42894873052929,1.31544266690747,314,494,18,NaN,NaN,NaN
462,right,2,33.75,2,0.8,3,90,2,0,0,1,2,121,289,41,125,1.31936765902304,1.41830182399247,-1.80353027765277,1.64504225240919,334,514,18,NaN,NaN,NaN
463,left,1,56.25,3,0.8,3,180,3,0,0,1,1,92,286,320,133,1.44822887196819,1.56589453099002,-0.189555662686347,1.69900004723408,56.25,236.25,19,NaN,NaN,NaN
464,left,1,56.25,3,0.8,3,180,3,0,0,1,1,23,167,188,57,-2.00057248006651,1.74025193087069,-0.959212875780505,1.36065403354277,56.25,236.25,19,NaN,NaN,NaN
465,left,1,56.25,3,0.8,3,180,3,0,0,1,1,77,242,248,127,1.66525595345962,1.35041000992458,-0.392168292588595,0.983271739608061,56.25,236.25,19,NaN,NaN,NaN
466,left,1,56.25,3,0.8,3,180,3,0,0,1,1,173,176,290,98,-1.98045476647306,0.0396924761550993,-0.393072226475723,1.56769807437223,56.25,236.25,19,NaN,NaN,NaN
467,left,1,56.25,3,0.8,3,180,3,0,0,1,1,66,143,205,51,-1.84928484512112,1.30650705996275,-0.878071870456594,1.46295755444287,56.25,236.25,19,NaN,NaN,NaN
468,left,1,56.25,3,0.8,3,180,3,0,0,1,1,99,232,217,153,1.63897482952361,1.08066835036127,-0.343732125692613,0.537883105956799,56.25,236.25,19,NaN,NaN,NaN
469,left,1,56.25,3,0.8,3,180,3,0,0,1,1,80,288,305,138,1.4836819140414,1.67690897819706,-0.188877211435501,1.51553039164805,56.25,236.25,19,NaN,NaN,NaN
470,left,1,56.25,3,0.8,3,180,3,0,0,1,1,171,195,289,116,1.21745303656827,0.223557117991213,-0.319813850537824,1.45212920193959,56.25,236.25,19,NaN,NaN,NaN
471,left,1,56.25,3,0.8,3,180,3,0,0,1,1,31,171,211,51,-2.01803722738576,1.6548398111827,-0.846718415865994,1.47711666367953,56.25,236.25,19,NaN,NaN,NaN
472,left,1,56.25,3,0.8,3,180,3,0,0,1,1,95,290,307,149,1.42511802683844,1.58627350907033,-0.137075913962712,1.5098851149246,56.25,236.25,19,NaN,NaN,NaN
473,left,1,56.25,3,0.8,3,180,3,0,0,1,2,193,321,177,181,0.946517417797028,1.64881130278708,0.936284990584555,0.048103409040915,353.5,533.5,19,NaN,NaN,NaN
474,left,1,56.25,3,0.8,3,180,3,0,0,1,2,56,175,292,122,-2.0320865102539,1.37209073887204,-0.284268769372165,1.44950590466794,77.5,257.5,19,NaN,NaN,NaN
475,left,1,56.25,3,0.8,3,180,3,0,0,1,2,167,175,266,242,-1.91718914775427,0.115141400034827,0.411847512729736,1.26182962223372,124.25,304.25,19,NaN,NaN,NaN
476,left,1,56.25,3,0.8,3,180,3,0,0,1,2,160,302,126,192,1.10511367403178,1.4348162366229,1.8482734360977,0.594083395108664,343,523,19,NaN,NaN,NaN
477,left,1,56.25,3,0.8,3,180,3,0,0,1,2,186,270,135,65,0.951918751959119,1.07019905944677,-1.25056182703754,1.35165115669094,346,526,19,NaN,NaN,NaN
478,left,1,56.25,3,0.8,3,180,3,0,0,1,2,65,104,205,152,-1.66519046607232,1.51341055532493,-0.45710044303648,0.430152714956401,109,289,19,NaN,NaN,NaN
479,left,1,56.25,3,0.8,3,180,3,0,0,1,2,158,313,173,130,1.10830490439193,1.56709411079779,-1.06689611213263,0.532121410473948,4.75,184.75,19,NaN,NaN,NaN
480,left,1,56.25,3,0.8,3,180,3,0,0,1,2,241,276,256,70,0.647581622143919,1.34543991685344,-0.604162270158271,1.51315274164687,4.25,184.25,19,NaN,NaN,NaN
481,left,1,56.25,3,0.8,3,180,3,0,0,1,2,136,97,306,248,-1.32738674081347,1.01352089039919,0.32627366961854,1.68161341342042,131.5,311.5,19,NaN,NaN,NaN
482,left,1,56.25,3,0.8,3,180,3,0,0,1,2,255,206,176,74,0.232449983740685,0.955956196685223,-1.02278147126641,1.16216142875699,329,509,19,NaN,NaN,NaN
483,right,2,78.75,4,0.8,3,270,4,0,0,1,1,85,172,211,147,-2.01130456473084,1.03538816630218,-0.454249735382498,0.515191726687863,78.75,258.75,20,NaN,NaN,NaN
484,right,2,78.75,4,0.8,3,270,4,0,0,1,1,66,216,320,166,1.81689492326707,1.3368673542634,-0.0483860915905284,1.62898404387806,78.75,258.75,20,NaN,NaN,NaN
